Parameters,Recall (%),Time Taken (seconds),Recalls per Second
"1,8",91.4,0.0198638987541198,50.34258442304007
"1,5",93.4,0.0217998266220092,45.871924457894174
"3,9",94.0,0.0211626815795898,47.25299089527675
"4,9",94.2,0.0203372383117675,49.17088469290237
"6,9",94.4,0.0225375032424926,44.370487238115146
"1,4",94.8,0.0220186924934387,45.415957387024086
"4,7",95.2,0.0215502619743347,46.40314819332358
"3,8",95.4,0.021787884235382,45.89706780138231
"1,3",96.0,0.0221258950233459,45.195911801301534
"5,9",96.2,0.0220076656341552,45.43871288411563
"4,6",96.4,0.0240805411338806,41.52730598703321
"5,7",97.2,0.0239176130294799,41.81019229500186
"4,8",97.6,0.0226678442955017,44.11535508025541
"3,7",98.0,0.0232618117332458,42.988912964625065
"9,9",98.4,0.0249799823760986,40.032053863929896
"8,9",98.6,0.0239982652664184,41.669678574614814
"3,6",98.8,0.0230015540122985,43.47532342663957
"4,5",99.0,0.025297725200653,39.52924589338904
"1,2",99.2,0.0242183971405029,41.29092417629887
"8,6",99.4,0.0266266322135925,37.55638309712761
"8,5",99.6,0.0293202972412109,34.10606624391437
"2,2",99.8,0.0245347309112548,40.75854769376205
"3,4",100.0,0.0251205396652221,39.80806198142464
