Parameters,Recall (%),Time Taken (seconds),Recalls per Second
"1,1",98.6,0.0241870641708374,41.34441422641573
"1,2",99.2,0.02421839714050293,41.29092417629887
"1,3",96.0,0.022125895023345946,45.195911801301534
"1,4",94.8,0.02201869249343872,45.415957387024086
"1,5",93.4,0.02179982662200928,45.871924457894174
"1,8",91.4,0.019863898754119872,50.342584423040066
"2,1",100.0,0.026713385581970214,37.43441642510991
"2,2",99.8,0.02453473091125488,40.75854769376205
"2,3",99.8,0.02574333906173706,38.84499977263337
"2,4",97.6,0.024052608013153075,41.57553307538018
"2,5",94.19999999999999,0.022511138916015624,44.42245253475588
"2,6",94.0,0.021670210361480712,46.146298689260654
"2,7",94.19999999999999,0.021501326560974122,46.50875829285088
"3,1",100.0,0.027337732315063475,36.57947881247582
"3,2",100.0,0.026242454051971436,38.10619227986706
"3,3",100.0,0.025621247291564942,39.03010609203328
"3,4",100.0,0.025120539665222166,39.808061981424636
"3,5",98.0,0.02434727191925049,41.07236339728629
"3,6",98.8,0.023001554012298583,43.47532342663957
"3,7",98.0,0.02326181173324585,42.988912964625065
"3,8",95.39999999999999,0.02178788423538208,45.897067801382306
"3,9",94.0,0.021162681579589844,47.25299089527675
"4,1",100.0,0.030773870944976807,32.49509955338359
"4,2",100.0,0.02936530590057373,34.05379134771629
"4,3",100.0,0.026861774921417236,37.227621887438545
"4,4",100.0,0.025401954650878907,39.36704925836879
"4,5",99.0,0.025297725200653078,39.52924589338904
"4,6",96.39999999999999,0.024080541133880615,41.52730598703321
"4,7",95.19999999999999,0.021550261974334718,46.40314819332358
"4,8",97.6,0.02266784429550171,44.11535508025541
"4,9",94.19999999999999,0.020337238311767578,49.17088469290237
"5,1",100.0,0.033431851863861085,29.91159460959961
"5,2",100.0,0.029150545597076416,34.30467524766647
"5,3",99.6,0.0295912504196167,33.79377301802285
"5,4",100.0,0.02703218698501587,36.992937365900396
"5,5",100.0,0.02714092254638672,36.844731356898194
"5,6",96.39999999999999,0.024760160446166992,40.38746041949843
"5,7",97.2,0.02391761302947998,41.81019229500186
"5,8",97.6,0.025060102939605713,39.90406593340728
"5,9",96.2,0.022007665634155273,45.43871288411563
"6,1",100.0,0.035399143695831296,28.249270903063195
"6,2",100.0,0.03552530527114868,28.148948823027688
"6,3",100.0,0.029047229290008546,34.42669144158175
"6,4",100.0,0.029194746017456055,34.25273846883553
"6,5",98.8,0.026027209758758545,38.42132941905096
"6,6",98.8,0.026837055683135987,37.26191173156098
"6,7",97.6,0.024719057083129884,40.454617529989605
"6,8",97.2,0.024250104427337646,41.23693582418883
"6,9",94.39999999999999,0.022537503242492676,44.370487238115146
"7,1",100.0,0.038681280612945554,25.85229816991446
"7,2",100.0,0.03255982398986816,30.71269673666467
"7,3",100.0,0.03209398508071899,31.15848647293
"7,4",100.0,0.032930941581726075,30.366577813095894
"7,5",100.0,0.02839338541030884,35.21947050515956
"7,6",98.4,0.02868596076965332,34.86025822979906
"7,7",98.8,0.025845043659210205,38.692138159481786
"7,8",99.2,0.024792225360870362,40.3352254767054
"7,9",99.0,0.026034932136535644,38.40993303749267
"8,1",100.0,0.041040394306182865,24.366237627725397
"8,2",100.0,0.03843985319137573,26.014667512423213
"8,3",100.0,0.0350188946723938,28.556012671305783
"8,4",100.0,0.02805419683456421,35.64529064571005
"8,5",99.6,0.02932029724121094,34.10606624391437
"8,6",99.4,0.02662663221359253,37.55638309712761
"8,7",98.6,0.024904279708862304,40.15374111157872
"8,8",97.6,0.025315248966217042,39.501882890209394
"8,9",98.6,0.023998265266418458,41.669678574614814
"9,1",100.0,0.042634081840515134,23.45541305992664
"9,2",100.0,0.03835103273391724,26.074917119913977
"9,3",100.0,0.03388205051422119,29.514152326178536
"9,4",100.0,0.032814922332763674,30.473940783993925
"9,5",100.0,0.028491344451904297,35.09837879669319
"9,6",100.0,0.02914844274520874,34.30715008486601
"9,7",100.0,0.025279898643493653,39.55712062387451
"9,8",97.6,0.024523940086364746,40.77648193880549
"9,9",98.4,0.024979982376098633,40.032053863929896
